date,sal_logger1,temp_logger1,n_logger1,sal_logger3,temp_logger3,n_logger3,stage_ft,n_stage,sal_logger1_z,sal_logger3_z,temp_logger1_z,temp_logger3_z,stage_ft_z,temp_mean,temp_mean_z
7/14/2025,0.08,30.33520833,48,0.073333333,30.72104167,48,1.453684211,95,-0.506272681,-0.752052613,1.167001866,1.180277755,-0.300507123,30.528125,1.174598485
7/15/2025,0.08,30.44479167,48,0.081875,31.01395833,48,1.288526316,95,-0.506272681,-0.746314527,1.183856073,1.224477103,-0.428884868,30.729375,1.20527917
7/16/2025,0.080416667,30.63208333,48,0.245208333,31.4325,48,1.266315789,95,-0.502630391,-0.636591142,1.212662028,1.287632502,-0.44614918,31.03229167,1.251459
7/17/2025,0.082708333,31.11791667,48,0.849166667,31.131875,48,1.719789474,95,-0.482597794,-0.230866534,1.287384481,1.242270013,-0.093662673,31.12489583,1.265576562
7/18/2025,0.086041667,31.20895833,48,1.170833333,30.98,48,2.169473684,95,-0.453459472,-0.014778643,1.301386931,1.219352997,0.255878264,31.09447917,1.260939523
7/19/2025,0.088541667,31.085,48,0.673541667,31.25083333,48,1.907157895,95,-0.431605731,-0.348847163,1.282321811,1.260220104,0.051979384,31.16791667,1.272135114
7/20/2025,0.09,31.008125,48,0.224583333,31.45145833,48,1.767578947,95,-0.418857715,-0.650446519,1.270498232,1.2904932,-0.056515766,31.22979167,1.281567996
7/21/2025,0.09,31.24395833,48,0.136041667,31.68729167,48,1.585578947,95,-0.418857715,-0.70992667,1.306770024,1.326079019,-0.197984933,31.465625,1.317520931
7/22/2025,0.09,31.574375,48,0.127708333,32.005,48,1.444105263,95,-0.418857715,-0.715524802,1.357588982,1.37401928,-0.307952868,31.7896875,1.366924457
7/23/2025,0.09,31.91020833,48,0.197083333,32.11541667,48,1.360736842,95,-0.418857715,-0.668920354,1.409241039,1.390680485,-0.372755401,32.0128125,1.400939999
7/24/2025,0.091875,31.87208333,48,0.392083333,31.84604167,48,1.423684211,95,-0.402467409,-0.537924068,1.403377313,1.350033431,-0.323826216,31.8590625,1.377500718
7/25/2025,0.091458333,31.57583333,48,0.6775,31.45166667,48,1.852210526,95,-0.406109699,-0.346188051,1.357813278,1.290524636,0.009268623,31.51375,1.324857617
7/26/2025,0.091458333,31.331875,48,0.513125,31.41208333,48,1.806526316,95,-0.406109699,-0.456611202,1.32029184,1.284551751,-0.026241856,31.37197917,1.303244567
7/27/2025,0.090208333,30.96041667,48,0.315,31.46479167,48,1.613263158,95,-0.41703657,-0.589706788,1.263160564,1.292505119,-0.17646591,31.21260417,1.278947751
7/28/2025,0.09,30.99833333,48,0.137083333,31.821875,48,1.129473684,95,-0.418857715,-0.709226904,1.268992248,1.346386828,-0.552516974,31.41010417,1.309056746
7/29/2025,0.09,31.07875,48,0.370625,32.21395833,48,0.944842105,95,-0.418857715,-0.552339258,1.281360544,1.405549825,-0.696031675,31.64635417,1.345073203
7/30/2025,0.091666667,31.225,48,1.408333333,32.05145833,48,1.211578947,95,-0.404288554,0.144768116,1.303854182,1.38102956,-0.488696297,31.63822917,1.343834542
7/31/2025,0.092291667,31.40291667,48,1.772291667,31.98270833,48,1.293894737,95,-0.398825119,0.389266526,1.331218236,1.370655602,-0.424711978,31.6928125,1.352155804
8/1/2025,0.092291667,31.38125,48,1.393125,32.001875,48,1.382105263,95,-0.398825119,0.134551525,1.327885846,1.373547736,-0.356145661,31.6915625,1.351965241
8/2/2025,0.09375,31.54375,48,0.957708333,31.96895833,48,1.115789474,95,-0.386077103,-0.157950866,1.352878776,1.368580811,-0.563153754,31.75635417,1.36184277
8/3/2025,0.093958333,31.81958333,48,0.857916667,31.890625,48,1.054947368,95,-0.384255958,-0.224988495,1.395302674,1.356760786,-0.610446511,31.85510417,1.376897268
8/4/2025,0.095625,31.94333333,48,1.090416667,31.745,48,1.282421053,95,-0.369686797,-0.068800616,1.414335751,1.334786857,-0.433630508,31.84416667,1.375229839
